section,fileName,in_en,in_vi,in_ja,status
ai-notebook,about-ai-notebooks,Y,Y,N,MISSING
ai-notebook,ai-notebook,N,N,Y,MISSING
ai-notebook,connect-switch-kernel,Y,Y,N,MISSING
ai-notebook,create-jp,N,N,Y,MISSING
ai-notebook,create-notebook,Y,Y,N,MISSING
ai-notebook,faq-jp,N,N,Y,MISSING
ai-notebook,get-started-jp,N,N,Y,MISSING
ai-notebook,index,Y,Y,N,MISSING
ai-notebook,lauch-jp,N,N,Y,MISSING
ai-notebook,launch-ai-notebook,Y,Y,N,MISSING
ai-notebook,quick-start-jp,N,N,Y,MISSING
ai-notebook,shut-down-jp,N,N,Y,MISSING
ai-notebook,shut-down-kernel,Y,Y,N,MISSING
ai-notebook,switch,N,N,Y,MISSING
ai_marketplace,AI マーケットプレイス,N,N,Y,MISSING
ai_marketplace,balance,Y,Y,N,MISSING
ai_marketplace,contact-us,Y,Y,N,MISSING
ai_marketplace,home-page,Y,Y,N,MISSING
ai_marketplace,my-account,Y,Y,N,MISSING
ai_marketplace,overview,Y,Y,N,MISSING
ai_marketplace,product-information,Y,Y,N,MISSING
ai_marketplace,お問い合わせ,N,N,Y,MISSING
ai_marketplace,サインイン,N,N,Y,MISSING
ai_marketplace,ホームページ,N,N,Y,MISSING
ai_marketplace,マイアカウント,N,N,Y,MISSING
ai_marketplace,残高,N,N,Y,MISSING
ai_marketplace,製品情報,N,N,Y,MISSING
allow-address-pair,allow-address-pair,N,N,Y,MISSING
allow-address-pair,index,Y,Y,N,MISSING
billing,index,Y,Y,N,MISSING
budget-alert,Chỉnh sửa Budget Alert,N,Y,N,MISSING
budget-alert,Cài đặt ngăn chặn tạo resource Compute-Network mới khi đã đạt ngưỡng ngân sách,N,Y,N,MISSING
budget-alert,Khởi tạo Bugdet Alert,N,Y,N,MISSING
budget-alert,Tạm dừng cảnh báo của 1 Budget Alert,N,Y,N,MISSING
budget-alert,Xem thông tin cost và lịch sử cảnh báo,N,Y,N,MISSING
budget-alert,Xóa Budget Alert,N,Y,N,MISSING
budget-alert,delete-budget-alert,Y,N,N,MISSING
budget-alert,edit-budget-alert,Y,N,N,MISSING
budget-alert,initiating-a-budget-alert,Y,N,N,MISSING
budget-alert,pause-budget-alert,Y,N,N,MISSING
budget-alert,setting-budget-alert,Y,N,N,MISSING
budget-alert,view-cost-information,Y,N,N,MISSING
budget-alert,コスト情報とアラート履歴の確認_2,N,N,Y,MISSING
budget-alert,予算しきい値に達した後の新規コンピューティング／ネットワークリソースの作成制限_6,N,N,Y,MISSING
budget-alert,予算アラートの作成_1,N,N,Y,MISSING
budget-alert,予算アラートの削除_5,N,N,Y,MISSING
budget-alert,予算アラートの無効化_3,N,N,Y,MISSING
budget-alert,予算アラートの編集_4,N,N,Y,MISSING
checkpoint-fpt-ngfw,checkpoint-fpt-ngfw,N,N,Y,MISSING
checkpoint-fpt-ngfw,huong-dan-tren-gaia-portal,Y,N,Y,MISSING
checkpoint-fpt-ngfw,huong-dan-tren-smartconsole,Y,N,Y,MISSING
checkpoint-fpt-ngfw,index,Y,Y,N,MISSING
cloud-guard,khoi-tao-canh-bao-vpn,Y,N,Y,MISSING
cloud-server,index,Y,Y,N,MISSING
cost-explorer,View-dashboards-and-specific-costs-by-service,Y,N,N,MISSING
cost-explorer,cost-explorer-dimension-resource-type,N,Y,N,MISSING
cost-explorer,cost-explorer-dimension-service,N,Y,N,MISSING
cost-explorer,customer-filter,Y,N,N,MISSING
cost-explorer,fqas-2,N,Y,N,MISSING
cost-explorer,question-1,Y,Y,N,MISSING
cost-explorer,questions-2,Y,N,N,MISSING
cost-explorer,サービス別のダッシュボード＆コストの確認_1,N,N,Y,MISSING
cost-explorer,フィルタをカスタマイズして期間／リソース グループ別のコストを確認_2,N,N,Y,MISSING
cost-explorer,質問-1,N,N,Y,MISSING
cost-explorer,質問-2,N,N,Y,MISSING
create-vpc,VPC の作成_1,N,N,Y,MISSING
create-vpc,activitylog-bell,N,Y,N,MISSING
create-vpc,create-vpc,N,Y,N,MISSING
create-vpc,create-vpc-en,Y,N,N,MISSING
create-vpc,rename-vpc,N,Y,N,MISSING
create-vpc,rename-vpc-en,Y,N,N,MISSING
create-vpc,view-activity-en,Y,N,N,MISSING
create-vpc,アクティビティログの表示_2,N,N,Y,MISSING
create-vpc,アクティビティログ＆直近タスクステータスの記録_3,N,N,Y,MISSING
dedicated-fpt-kubernetes-engine,AutoScale,Y,Y,N,MISSING
dedicated-fpt-kubernetes-engine,Initial-Setup,Y,Y,N,MISSING
dedicated-fpt-kubernetes-engine,access-clusters-detail-information,Y,N,Y,MISSING
dedicated-fpt-kubernetes-engine,add-nfs-storage,Y,N,Y,MISSING
dedicated-fpt-kubernetes-engine,advanced-firewall,Y,N,Y,MISSING
dedicated-fpt-kubernetes-engine,auto-scale,Y,N,Y,MISSING
dedicated-fpt-kubernetes-engine,backup-and-restore-cluster,N,Y,N,MISSING
dedicated-fpt-kubernetes-engine,backup-restore-cluster,Y,N,Y,MISSING
dedicated-fpt-kubernetes-engine,best-practice-upgrade-fke-cluster-version,Y,Y,N,MISSING
dedicated-fpt-kubernetes-engine,best-practice-upgrade-version,Y,N,Y,MISSING
dedicated-fpt-kubernetes-engine,change-nfs-server-configuration,Y,N,Y,MISSING
dedicated-fpt-kubernetes-engine,change-nodes-configuration,Y,N,Y,MISSING
dedicated-fpt-kubernetes-engine,changing-cluster-configuration,Y,N,Y,MISSING
dedicated-fpt-kubernetes-engine,create-new-k8s-cluster,Y,N,Y,MISSING
dedicated-fpt-kubernetes-engine,delete-k8s-cluster,Y,N,Y,MISSING
dedicated-fpt-kubernetes-engine,dfke-advanced-firewall,Y,Y,N,MISSING
dedicated-fpt-kubernetes-engine,faqs,Y,N,Y,MISSING
dedicated-fpt-kubernetes-engine,fke-usage-notes,N,N,Y,MISSING
dedicated-fpt-kubernetes-engine,get-cluster-access-information,Y,N,Y,MISSING
dedicated-fpt-kubernetes-engine,increase-storage-size-of-nfs-server,Y,N,Y,MISSING
dedicated-fpt-kubernetes-engine,increase-storage-size-of-nodes,Y,N,Y,MISSING
dedicated-fpt-kubernetes-engine,initial-setup,Y,N,Y,MISSING
dedicated-fpt-kubernetes-engine,khoi-tao-kubernetes-cluster-moi,N,Y,N,MISSING
dedicated-fpt-kubernetes-engine,lay-thong-tin-truy-cap-cluster,N,Y,N,MISSING
dedicated-fpt-kubernetes-engine,list-created-clusters,Y,N,Y,MISSING
dedicated-fpt-kubernetes-engine,managing-k8s-cluster,Y,N,Y,MISSING
dedicated-fpt-kubernetes-engine,nang-cap-k8s-version,N,Y,N,MISSING
dedicated-fpt-kubernetes-engine,notes-when-using-dfke,Y,N,Y,MISSING
dedicated-fpt-kubernetes-engine,quan-ly-kubernetes-cluster,N,Y,N,MISSING
dedicated-fpt-kubernetes-engine,start-k8s-cluster,Y,N,Y,MISSING
dedicated-fpt-kubernetes-engine,start-kubernetes-cluster,N,Y,N,MISSING
dedicated-fpt-kubernetes-engine,stop-k8s-cluster,Y,N,Y,MISSING
dedicated-fpt-kubernetes-engine,stop-kubernetes-cluster,N,Y,N,MISSING
dedicated-fpt-kubernetes-engine,tang-storage-size-cua-nfs,N,Y,N,MISSING
dedicated-fpt-kubernetes-engine,tang-storage-size-cua-nodes,N,Y,N,MISSING
dedicated-fpt-kubernetes-engine,thay-doi-cau-hinh-k8s-cluster,N,Y,N,MISSING
dedicated-fpt-kubernetes-engine,thay-doi-flavor-cau-hinh-nfs,N,Y,N,MISSING
dedicated-fpt-kubernetes-engine,thay-doi-flavor-cau-hinh-nodes,N,Y,N,MISSING
dedicated-fpt-kubernetes-engine,them-nfs-persistent-storage,N,Y,N,MISSING
dedicated-fpt-kubernetes-engine,truy-cap-thong-tin-chi-tiet-cua-cluster,N,Y,N,MISSING
dedicated-fpt-kubernetes-engine,upgrade-k8s-version,N,N,Y,MISSING
dedicated-fpt-kubernetes-engine,upgrading-k8s-version,Y,N,Y,MISSING
dedicated-fpt-kubernetes-engine,xem-danh-sach-kubernetes-cluster-da-tao,N,Y,N,MISSING
dedicated-fpt-kubernetes-engine,xoa-kubernetes-cluster,N,Y,N,MISSING
end-user-request-resource,index,Y,Y,N,MISSING
file-storage-high-performance,Sử dụng File Storage - High Performance trên Kubernetes (K8S Cluster),Y,N,N,MISSING
file-storage-high-performance,file-storage-high-performance,N,N,Y,MISSING
file-storage-high-performance,index,Y,Y,N,MISSING
file-storage-high-performance,japan-region,Y,N,N,MISSING
file-storage-high-performance,quan-ly-mountpoint,N,Y,Y,MISSING
file-storage-high-performance,region-nhat-ban,N,N,Y,MISSING
file-storage-high-performance,region-viet-nam,N,N,Y,MISSING
file-storage-high-performance,su-dung-file-storage-high-performance-tren-kubernetes-k8s-cluster,N,N,Y,MISSING
file-storage-high-performance,using-file-storage-high-performance-on-kubernetes-k8s-cluster,Y,N,N,MISSING
file-storage-high-performance,vietnam-region,Y,N,N,MISSING
file-storage-high-performance,vn-su-dung-file-storage-high-performance-tren-baremetal-gpu-server,N,Y,Y,MISSING
fpt-api-management,consumer-api-usage-guide,Y,N,Y,MISSING
fpt-api-management,dang-ky-dich-vu-api-management-tren-fpt-portal,N,Y,N,MISSING
fpt-api-management,declaring-information,Y,N,Y,MISSING
fpt-api-management,fpt-api-management,N,N,Y,MISSING
fpt-api-management,huong-dan-nhanh-quick-starts,N,Y,N,MISSING
fpt-api-management,huong-dan-su-dung-cho-api-consumer,N,Y,N,MISSING
fpt-api-management,index,Y,Y,N,MISSING
fpt-api-management,khai-bao-thong-tin-tren-apimanager-application,N,Y,N,MISSING
fpt-api-management,manage-rest-apis,Y,N,Y,MISSING
fpt-api-management,managing-consumers,Y,N,Y,MISSING
fpt-api-management,managing-products,Y,N,Y,MISSING
fpt-api-management,managing-sites,Y,N,Y,MISSING
fpt-api-management,quan-ly-api-site,N,Y,N,MISSING
fpt-api-management,quan-ly-consumers,N,Y,N,MISSING
fpt-api-management,quan-ly-products,N,Y,N,MISSING
fpt-api-management,quan-ly-rest-apis,N,Y,N,MISSING
fpt-api-management,quick-starts,Y,N,Y,MISSING
fpt-api-management,registering-on-fpt-portal,Y,N,Y,MISSING
fpt-app-catalogs,add-cluster-to-app-catalogs-management,Y,N,Y,MISSING
fpt-app-catalogs,app-catalogs,Y,N,Y,MISSING
fpt-app-catalogs,change-applications-configuration,Y,N,Y,MISSING
fpt-app-catalogs,create-a-new-fpt-app-catalogs,Y,N,Y,MISSING
fpt-app-catalogs,delete-an-app-catalogs-mangement,Y,N,Y,MISSING
fpt-app-catalogs,deploy-app-catalogs-to-cluster,Y,N,Y,MISSING
fpt-app-catalogs,deploy-app-catalogs-toi-cluster,N,Y,N,MISSING
fpt-app-catalogs,filter-apps-da-duoc-deploy-theo-cluster,N,Y,N,MISSING
fpt-app-catalogs,filter-deployed-appplications-by-cluster,Y,N,Y,MISSING
fpt-app-catalogs,index,Y,Y,N,MISSING
fpt-app-catalogs,ket-noi-cluster-toi-app-catalog-management,N,Y,N,MISSING
fpt-app-catalogs,manage-app-catalogs,Y,N,Y,MISSING
fpt-app-catalogs,manage-deployed-applications,Y,N,Y,MISSING
fpt-app-catalogs,quan-ly-app-catalogs,N,Y,N,MISSING
fpt-app-catalogs,quan-ly-applications-da-duoc-deploy,N,Y,N,MISSING
fpt-app-catalogs,rollback-an-application-to-the-old-configuration,Y,N,Y,MISSING
fpt-app-catalogs,rollback-app-ve-cau-hinh-cu,N,Y,N,MISSING
fpt-app-catalogs,search-app-catalogs-from-a-repository,Y,N,Y,MISSING
fpt-app-catalogs,search-app-catalogs-trong-repository,N,Y,N,MISSING
fpt-app-catalogs,tao-moi-app-catalogs,N,Y,N,MISSING
fpt-app-catalogs,thay-doi-cau-hinh-cua-applications,N,Y,N,MISSING
fpt-app-catalogs,uninstall-applications,Y,N,Y,MISSING
fpt-app-catalogs,uninstall-applications-neu-muon-xoa-bo,N,Y,N,MISSING
fpt-app-catalogs,upgrade-applications-to-the-latest-version,Y,N,Y,MISSING
fpt-app-catalogs,upgrade-applications-toi-version-moi-nhat,N,Y,N,MISSING
fpt-app-catalogs,view-app-catalog-details,Y,N,Y,MISSING
fpt-app-catalogs,view-deployed-applications-details,Y,N,Y,MISSING
fpt-app-catalogs,xem-chi-tiet-app-da-deploy,N,Y,N,MISSING
fpt-app-catalogs,xem-thong-tin-chi-tiet-app-catalog,N,Y,N,MISSING
fpt-app-catalogs,xoa-app-catalog-management,N,Y,N,MISSING
fpt-appsec,detail-dasboard,Y,N,Y,MISSING
fpt-appsec,fpt-appsec,N,N,Y,MISSING
fpt-appsec,index,Y,Y,N,MISSING
fpt-argocd,Connect-Kubernetes-Cluster-to-ArgoCD-Instance,Y,N,Y,MISSING
fpt-argocd,Create-new-account-on-FPT-Cloud-Portal,Y,N,Y,MISSING
fpt-argocd,Create-new-webhook-secret,Y,N,Y,MISSING
fpt-argocd,Demo,Y,N,N,MISSING
fpt-argocd,Edit-webhook-secret,Y,N,N,MISSING
fpt-argocd,Managing-Account-on-ArgoCD,Y,N,N,MISSING
fpt-argocd,View-informations-ArgoCD,Y,N,Y,MISSING
fpt-argocd,add-cluster-to-argocd,N,N,Y,MISSING
fpt-argocd,add-cluster-toi-argocd,N,Y,N,MISSING
fpt-argocd,add-moi-webhook-secret,N,Y,N,MISSING
fpt-argocd,cau-hinh-build-option-cho-kustomize,N,Y,N,MISSING
fpt-argocd,cau-hinh-channel-de-thuc-hien-gui-thong-bao,N,Y,N,MISSING
fpt-argocd,cau-hinh-image-updater,N,Y,N,MISSING
fpt-argocd,cau-hinh-log-level,N,Y,N,MISSING
fpt-argocd,cau-hinh-notifications,N,Y,N,MISSING
fpt-argocd,cau-hinh-oidc-config,N,Y,N,MISSING
fpt-argocd,cau-hinh-oidc-phuc-vu-sso-config,N,Y,N,MISSING
fpt-argocd,cau-hinh-rbac,N,Y,N,MISSING
fpt-argocd,cau-hinh-timereconcile,N,Y,N,MISSING
fpt-argocd,cau-hinh-webhook,N,Y,N,MISSING
fpt-argocd,cau-hinh-whitelist-ip,N,Y,N,MISSING
fpt-argocd,check-service-package-info,Y,N,Y,MISSING
fpt-argocd,cho-phep-enable-applications-set,N,Y,N,MISSING
fpt-argocd,configure-build-options-kustomize,Y,N,Y,MISSING
fpt-argocd,configure-image-updater,Y,N,Y,MISSING
fpt-argocd,configure-log-level,Y,N,Y,MISSING
fpt-argocd,configure-notification-channels,Y,N,Y,MISSING
fpt-argocd,configure-notifications,Y,N,Y,MISSING
fpt-argocd,configure-oidc-config,Y,N,Y,MISSING
fpt-argocd,configure-oidc-sso,Y,N,Y,MISSING
fpt-argocd,configure-rbac,Y,N,Y,MISSING
fpt-argocd,configure-timereconcile,Y,N,Y,MISSING
fpt-argocd,configure-webhook,Y,N,Y,MISSING
fpt-argocd,configure-webhook-with-secret,Y,N,Y,MISSING
fpt-argocd,configure-whitelist-ip,Y,N,Y,MISSING
fpt-argocd,create-fpt-argocd,Y,N,Y,MISSING
fpt-argocd,delete-oidc-config,Y,N,Y,MISSING
fpt-argocd,delete-oidc-da-cau-hinh,N,Y,N,MISSING
fpt-argocd,edit-webhook-secret,N,Y,Y,MISSING
fpt-argocd,enable-applications-set,Y,N,Y,MISSING
fpt-argocd,enable-disable-argocd-images-updater,N,Y,N,MISSING
fpt-argocd,enable-disable-chuc-nang-cau-hinh-oidc,N,Y,N,MISSING
fpt-argocd,enable-disable-images-updater,Y,N,Y,MISSING
fpt-argocd,enable-disable-notificaions,N,Y,N,MISSING
fpt-argocd,enable-disable-notifications,Y,N,Y,MISSING
fpt-argocd,enable-disable-oidc,Y,N,Y,MISSING
fpt-argocd,huong-dan-cau-hinh-argocd-cluster-de-deploy-ung-dung-voi-manifes,Y,Y,N,MISSING
fpt-argocd,huong-dan-cau-hinh-notifications-de-nhan-thong-bao,Y,Y,N,MISSING
fpt-argocd,huong-dan-dang-nhap-vao-argocd,Y,Y,N,MISSING
fpt-argocd,huong-dan-deploy-applications-qua-argocd-cli,Y,Y,N,MISSING
fpt-argocd,huong-dan-deploy-applications-qua-helm-chart-repo,Y,Y,N,MISSING
fpt-argocd,huong-dan-deploy-mot-appliations-voi-kustomize-su-dung-build-options,Y,Y,N,MISSING
fpt-argocd,huong-dan-su-dung-applicationset-de-deploy,Y,Y,N,MISSING
fpt-argocd,huong-dan-tich-hop-argocd-images-updater,Y,Y,N,MISSING
fpt-argocd,huong-dan-tich-hop-oidc-de-quan-ly-account,Y,Y,N,MISSING
fpt-argocd,index,Y,Y,N,MISSING
fpt-argocd,kiem-tra-thong-tin-goi-dich-vu,N,Y,N,MISSING
fpt-argocd,manage-accounts,Y,N,Y,MISSING
fpt-argocd,manage-admin-account,Y,N,Y,MISSING
fpt-argocd,manage-container-registry,Y,N,Y,MISSING
fpt-argocd,manage-registry-secrets,Y,N,Y,MISSING
fpt-argocd,manage-secrets,Y,N,Y,MISSING
fpt-argocd,mange-admin-account,N,Y,N,MISSING
fpt-argocd,nang-goi-dich-vu-dang-su-dung,N,Y,N,MISSING
fpt-argocd,quan-ly-account-tren-argocd,N,Y,N,MISSING
fpt-argocd,quan-ly-container-registry,N,Y,N,MISSING
fpt-argocd,quan-ly-registry-secret,N,Y,N,MISSING
fpt-argocd,quan-ly-secret,N,Y,N,MISSING
fpt-argocd,tao-moi-account-tren-portal,N,Y,N,MISSING
fpt-argocd,tao-moi-fpt-argocd,N,Y,N,MISSING
fpt-argocd,thuc-hien-cau-hinh-webhook-voi-webhook-secret-da-duoc-tao,N,Y,N,MISSING
fpt-argocd,update-cau-hinh-oidc,N,Y,N,MISSING
fpt-argocd,update-oidc-config,Y,N,Y,MISSING
fpt-argocd,upgrade-service-package,Y,N,Y,MISSING
fpt-argocd,xem-thong-tin-chi-tiet-argocd,N,Y,N,MISSING
fpt-autoscale,index,Y,Y,N,MISSING
fpt-backup-as-a-service,index,Y,Y,N,MISSING
fpt-cloud-desktop,index,Y,Y,N,MISSING
fpt-cloud-desktop,overview-fcd,N,N,Y,MISSING
fpt-cloud-monitoring,index,Y,Y,N,MISSING
fpt-cloud-portal,fpt-cloud-portal,N,N,Y,MISSING
fpt-cloud-portal,index,Y,Y,N,MISSING
fpt-cloud-portal-pay-as-you-gofpt-cloud-portal-pay-as-you-go,choose-the-form-of-PAYG-and-verify-the-phon- number,Y,Y,N,MISSING
fpt-cloud-waf,add-stream-host,N,N,Y,MISSING
fpt-cloud-waf,battat-proxy-host,N,Y,N,MISSING
fpt-cloud-waf,cap-nhat-thong-tin-cho-proxy-host,N,Y,N,MISSING
fpt-cloud-waf,cau-hinh-ket-noi-may-chu-waf,N,Y,N,MISSING
fpt-cloud-waf,chinh-sua-may-chu-waf,N,Y,N,MISSING
fpt-cloud-waf,configure-waf-server-connection,Y,N,Y,MISSING
fpt-cloud-waf,create-proxy-host,Y,N,Y,MISSING
fpt-cloud-waf,delete-proxy-host,Y,N,Y,MISSING
fpt-cloud-waf,delete-waf-server,Y,N,Y,MISSING
fpt-cloud-waf,edit-waf-server,N,N,Y,MISSING
fpt-cloud-waf,enable-disable-proxy-host,Y,N,Y,MISSING
fpt-cloud-waf,manage-404-host,Y,N,Y,MISSING
fpt-cloud-waf,manage-access-list,Y,N,Y,MISSING
fpt-cloud-waf,manage-proxy-host,Y,N,Y,MISSING
fpt-cloud-waf,manage-redirection-host,Y,N,Y,MISSING
fpt-cloud-waf,manage-security-rule-set,Y,N,N,MISSING
fpt-cloud-waf,manage-security-rule-sets,N,N,Y,MISSING
fpt-cloud-waf,manage-ssl-certificate,Y,N,N,MISSING
fpt-cloud-waf,manage-ssl-certificates,N,N,Y,MISSING
fpt-cloud-waf,manage-stream-host,Y,N,N,MISSING
fpt-cloud-waf,manage-waf-dashboard-users,N,N,Y,MISSING
fpt-cloud-waf,manage-waf-server-with-waf-dashboard,Y,N,N,MISSING
fpt-cloud-waf,monitor-waf-dashboard-overview,N,N,Y,MISSING
fpt-cloud-waf,monitor-waf-server-with-dashboard-overview,Y,N,N,MISSING
fpt-cloud-waf,monitor-waf-voi-dashboard-overview,N,Y,N,MISSING
fpt-cloud-waf,quan-ly-404-host,N,Y,N,MISSING
fpt-cloud-waf,quan-ly-access-list,N,Y,N,MISSING
fpt-cloud-waf,quan-ly-nguoi-dung-cua-waf-dashboard,N,Y,N,MISSING
fpt-cloud-waf,quan-ly-redirection-host,N,Y,N,MISSING
fpt-cloud-waf,quan-ly-security-rule-sets,N,Y,N,MISSING
fpt-cloud-waf,quan-ly-ssl-certificates,N,Y,N,MISSING
fpt-cloud-waf,tao-moi-proxy-host,N,Y,N,MISSING
fpt-cloud-waf,them-moi-stream-host,N,Y,N,MISSING
fpt-cloud-waf,tutorials-add-waf-server,N,N,Y,MISSING
fpt-cloud-waf,tutorials-create-a-new-waf-server,Y,N,N,MISSING
