slug,module,category,localFile,high,medium,low,total_issues,issue_types,web_words_adj,doc_words,word_gap_pct,web_imgs_adj,doc_imgs,aggregated,agg_files
db-view-detail,Managed - FPT Database Engines,FPT Database Engine,managed-fpt-database-engine/db-view-detail.md,0,1,0,1,FEWER_IMAGES,410,379,8%,10,2,,
thay-doi-worker-group-su-sung-gpu,FPT Kubernetes Engine with GPU,FPT Container,fpt-kubernetes-engine-with-gpu/thay-doi-worker-group-su-sung-gpu.md,0,2,0,2,"NO_TABLES, WORD_COUNT_LOW",84,54,36%,3,2,,
delete-ip-access,IAM,FPT Security,iam/delete-ip-access.md,0,2,0,2,"FEWER_IMAGES, NO_TABLES",40,10,75%,6,2,,
truy-cap-vao-dashboard,FPT Cloud Monitoring,FPT Monitoring,fpt-cloud-monitoring/truy-cap-vao-dashboard.md,0,2,0,2,"NO_TABLES, WORD_COUNT_LOW",53,23,57%,3,1,,
huong-dan-deploy-applications-qua-argocd-cli,FPT ArgoCD,FPT DevSecOps Services,fpt-argocd/huong-dan-deploy-applications-qua-argocd-cli.md,0,1,0,1,NO_TABLES,39,9,77%,5,3,,
change-virtual-machine-configuration,FPT Cloud Portal – Pay As You Go,FPT Cloud Server,fpt-cloud-portal-pay-as-you-gofpt-cloud-portal-pay-as-you-go/change-virtual-machine-configuration.md,0,2,0,2,"FEWER_IMAGES, NO_TABLES",45,16,64%,10,3,,
stop-scan,FPT Container Registry,FPT Container,fpt-container-registry/stop-scan.md,0,3,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",51,23,55%,8,3,,
xem-chi-tiet-workspace,FPT Cloud Monitoring,FPT Monitoring,fpt-cloud-monitoring/xem-chi-tiet-workspace.md,0,1,0,1,NO_TABLES,45,17,62%,3,1,,
update-admin-password,FPT ArgoCD,FPT DevSecOps Services,fpt-argocd/update-admin-password.md,0,1,0,1,NO_TABLES,43,15,65%,5,3,,
xoa-custom-image,Cloud Server,FPT Cloud Server,cloud-server/xoa-custom-image.md,0,3,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",57,30,47%,7,2,,
test-send-email,FPT Reporting,FPT Monitoring,reporting/test-send-email.md,0,2,0,2,"NO_TABLES, WORD_COUNT_LOW",58,31,47%,3,1,,
toi-duoc-ho-tro-nhung-gi-khi-thue-may-chu-va-dung-dich-vu-backup-tren-fpt-cloud,Backup,FPT Cloud Backup & DR,backup/toi-duoc-ho-tro-nhung-gi-khi-thue-may-chu-va-dung-dich-vu-backup-tren-fpt-cloud.md,0,1,0,1,NO_TABLES,33,6,82%,3,0,,
recharge-via-gift-code,FPT Cloud Portal – Pay As You Go,FPT Cloud Server,fpt-cloud-portal-pay-as-you-gofpt-cloud-portal-pay-as-you-go/recharge-via-gift-code.md,0,2,0,2,"FEWER_IMAGES, NO_TABLES",41,15,63%,9,2,,
update-target,FPT Cloud VA,FPT Security,fpt-va/update-target.md,0,2,0,2,"FEWER_IMAGES, NO_TABLES",50,24,52%,5,2,,
monitor-ip,DdoS Protection,FPT Security,ddos-protection/monitor-ip.md,0,3,0,3,"HEADING_COUNT_DIFF, NO_TABLES, WORD_COUNT_LOW",69,44,36%,12,10,,
tutorials-tao-policy,FPT Key Vault,FPT DevSecOps Services,fpt-key-vault/tutorials-tao-policy.md,0,3,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",58,33,43%,8,4,,
detection-log-analysis,FPT Cloud WAPPLES,FPT Security,fpt-cloud-wapples/detection-log-analysis.md,0,2,0,2,"FEWER_IMAGES, NO_TABLES",36,12,67%,8,2,,
fqas-3,Request Resource,Support,billing/fqas-3.md,0,1,0,1,NO_TABLES,35,11,69%,3,0,,
quan-ly-group,FPT Autoscale,FPT Cloud Server,fpt-autoscale/quan-ly-group.md,0,1,0,1,NO_TABLES,33,10,70%,1,0,,
install-veeam-agent-for-linux,FPT Backup As a Service,FPT Cloud Backup & DR,fpt-backup-as-a-service/install-veeam-agent-for-linux.md,0,2,0,2,"NO_TABLES, WORD_COUNT_LOW",73,50,32%,10,8,,
website-logs,FPT Cloud WAPPLES,FPT Security,fpt-cloud-wapples/website-logs.md,0,2,0,2,"FEWER_IMAGES, NO_TABLES",32,10,69%,7,1,,
truy-cap-giao-dien-quan-tri,Fortigate - FPT NGFW,FPT Security,fortigate-fpt-ngfw/truy-cap-giao-dien-quan-tri.md,0,2,0,2,"FEWER_IMAGES, NO_TABLES",36,14,61%,5,2,,
tutorials-tao-secret-tren-secret-engine,FPT Key Vault,FPT DevSecOps Services,fpt-key-vault/tutorials-tao-secret-tren-secret-engine.md,0,3,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",59,37,37%,8,4,,
xem-ket-qua-quet-cu,FPT Cloud VA,FPT Security,fpt-va/xem-ket-qua-quet-cu.md,0,2,0,2,"FEWER_IMAGES, NO_TABLES",29,8,72%,4,1,,
cau-hinh-static-routes,Fortigate - FPT NGFW,FPT Security,fortigate-fpt-ngfw/cau-hinh-static-routes.md,0,2,0,2,"FEWER_IMAGES, NO_TABLES",49,28,43%,5,2,,
quan-ly-system-user-user-profile,Fortigate - FPT NGFW,FPT Security,fortigate-fpt-ngfw/quan-ly-system-user-user-profile.md,0,2,0,2,"FEWER_IMAGES, NO_TABLES",71,50,30%,6,3,,
update-cau-hinh-oidc,FPT ArgoCD,FPT DevSecOps Services,fpt-argocd/update-cau-hinh-oidc.md,0,1,0,1,NO_TABLES,36,15,58%,5,3,,
home-page-portal,FPT Cloud Portal – Pay As You Go,FPT Cloud Server,fpt-cloud-portal-pay-as-you-gofpt-cloud-portal-pay-as-you-go/home-page-portal.md,0,2,0,2,"FEWER_IMAGES, NO_TABLES",32,12,62%,8,1,,
quan-ly-fpt-cloud-agent,FPT Jenkins CI,FPT DevSecOps Services,fpt-jenkins-ci/quan-ly-fpt-cloud-agent.md,0,1,0,1,NO_TABLES,39,19,51%,2,0,,
overview,SSO - Single sign-on,FPT Cloud Server,ai-factory-billing/overview.md,0,1,0,1,NO_TABLES,38,19,50%,2,0,,
install-policy,CheckPoint - FPT NGFW,FPT Security,checkpoint-fpt-ngfw/install-policy.md,0,2,0,2,"FEWER_IMAGES, NO_TABLES",42,23,45%,7,4,,
truy-cap-smartconsole,CheckPoint - FPT NGFW,FPT Security,checkpoint-fpt-ngfw/truy-cap-smartconsole.md,0,2,0,2,"FEWER_IMAGES, NO_TABLES",26,9,65%,6,3,,
restore-window-vm-from-cloud-repository,FPT Backup As a Service,FPT Cloud Backup & DR,fpt-backup-as-a-service/restore-window-vm-from-cloud-repository.md,0,1,0,1,NO_TABLES,86,70,19%,2,0,,
security-patch,FPT Cloud WAPPLES,FPT Security,fpt-cloud-wapples/security-patch.md,0,2,0,2,"FEWER_IMAGES, NO_TABLES",28,13,54%,9,3,,
billing-permission,Bills,Billing,billing/billing-permission.md,0,1,0,1,NO_TABLES,55,40,27%,8,6,,
detection-status,FPT Cloud WAPPLES,FPT Security,fpt-cloud-wapples/detection-status.md,0,2,0,2,"FEWER_IMAGES, NO_TABLES",20,6,70%,7,1,,
audit-logs,FPT Cloud WAPPLES,FPT Security,fpt-cloud-wapples/audit-logs.md,0,2,0,2,"FEWER_IMAGES, NO_TABLES",17,3,82%,7,1,,
x-forwarder-for,FPT Cloud WAPPLES,FPT Security,fpt-cloud-wapples/x-forwarder-for.md,0,2,0,2,"FEWER_IMAGES, NO_TABLES",31,17,45%,7,1,,
tich-hop-dich-vu,FPT Reporting,FPT Monitoring,reporting/tich-hop-dich-vu.md,0,1,0,1,NO_TABLES,19,6,68%,2,0,,
url-filter-settings,FPT Cloud WAPPLES,FPT Security,fpt-cloud-wapples/url-filter-settings.md,0,2,0,2,"FEWER_IMAGES, NO_TABLES",16,4,75%,7,1,,
tutorials-tao-secret-engine,FPT Key Vault,FPT DevSecOps Services,fpt-key-vault/tutorials-tao-secret-engine.md,0,2,0,2,"FEWER_IMAGES, NO_TABLES",44,32,27%,8,4,,
view-bill-charges-by-service,Bills,Billing,billing/view-bill-charges-by-service.md,0,1,0,1,NO_TABLES,36,24,33%,5,3,,
hien-thi-logs-traffic,Fortigate - FPT NGFW,FPT Security,fortigate-fpt-ngfw/hien-thi-logs-traffic.md,0,2,0,2,"FEWER_IMAGES, NO_TABLES",45,34,24%,5,2,,
tutorials-khoi-tao-vault-instance,FPT Key Vault,FPT DevSecOps Services,fpt-key-vault/tutorials-khoi-tao-vault-instance.md,0,2,0,2,"FEWER_IMAGES, NO_TABLES",37,26,30%,7,3,,
enable-disable-argocd-images-updater,FPT ArgoCD,FPT DevSecOps Services,fpt-argocd/enable-disable-argocd-images-updater.md,0,1,0,1,NO_TABLES,25,14,44%,4,2,,
change-password,FPT ArgoCD,FPT DevSecOps Services,iam/change-password.md,0,1,0,1,NO_TABLES,37,26,30%,4,3,,
xem-ket-qua-quet,FPT Cloud VA,FPT Security,fpt-va/xem-ket-qua-quet.md,0,1,0,1,NO_TABLES,15,5,67%,3,0,,
truy-cap-gaia-portal,CheckPoint - FPT NGFW,FPT Security,checkpoint-fpt-ngfw/truy-cap-gaia-portal.md,0,2,0,2,"FEWER_IMAGES, NO_TABLES",17,8,53%,6,3,,
alerting,FPT Cloud Monitoring,FPT Monitoring,fpt-cloud-monitoring/alerting.md,0,1,0,1,NO_TABLES,19,10,47%,3,1,,
user-defined-pattern,FPT Cloud WAPPLES,FPT Security,fpt-cloud-wapples/user-defined-pattern.md,0,2,0,2,"FEWER_IMAGES, NO_TABLES",12,4,67%,7,1,,
explore-data,FPT Cloud Monitoring,FPT Monitoring,fpt-cloud-monitoring/explore-data.md,0,1,0,1,NO_TABLES,18,10,44%,3,1,,
view-performed-transactions,FPT Cloud Portal – Pay As You Go,FPT Cloud Server,fpt-cloud-portal-pay-as-you-gofpt-cloud-portal-pay-as-you-go/view-performed-transactions.md,0,2,0,2,"FEWER_IMAGES, NO_TABLES",13,6,54%,8,1,,
revoke-token,Cloud Server,FPT Cloud Server,cloud-server/revoke-token.md,0,2,0,2,"FEWER_IMAGES, NO_TABLES",29,22,24%,8,3,,
self-diagnostics,FPT Cloud WAPPLES,FPT Security,fpt-cloud-wapples/self-diagnostics.md,0,2,0,2,"FEWER_IMAGES, NO_TABLES",9,2,78%,7,1,,
load-balancing,FPT Cloud WAPPLES,FPT Security,fpt-cloud-wapples/load-balancing.md,0,2,0,2,"FEWER_IMAGES, NO_TABLES",10,4,60%,7,1,,
log,Managed - FPT Database Engines,FPT Database Engine,managed-fpt-database-engines-new/log.md,0,2,0,2,"FEWER_IMAGES, NO_TABLES",43,37,14%,7,2,,
quan-ly-credential,FPT Jenkins CI,FPT DevSecOps Services,fpt-jenkins-ci/quan-ly-credential.md,0,1,0,1,NO_TABLES,36,31,14%,2,0,,
dang-ky,FPT Cloud Portal – Pay As You Go,FPT Cloud Server,fpt-cloud-portal-pay-as-you-gofpt-cloud-portal-pay-as-you-go/dang-ky.md,0,2,0,2,"FEWER_IMAGES, NO_TABLES",14,10,29%,8,1,,
report-scheduling,FPT Cloud WAPPLES,FPT Security,fpt-cloud-wapples/report-scheduling.md,0,2,0,2,"FEWER_IMAGES, NO_TABLES",8,4,50%,8,2,,
cau-hinh-dns,CheckPoint - FPT NGFW,FPT Security,checkpoint-fpt-ngfw/cau-hinh-dns.md,0,2,0,2,"FEWER_IMAGES, NO_TABLES",18,14,22%,5,2,,
tutorials-tao-role,FPT Key Vault,FPT DevSecOps Services,fpt-key-vault/tutorials-tao-role.md,0,2,0,2,"FEWER_IMAGES, NO_TABLES",54,50,7%,8,4,,
edit-report,FPT Reporting,FPT Monitoring,reporting/edit-report.md,0,1,0,1,NO_TABLES,18,15,17%,3,1,,
enable-disable-account,FPT ArgoCD,FPT DevSecOps Services,fpt-argocd/enable-disable-account.md,0,1,0,1,NO_TABLES,8,5,38%,3,1,,
scale-worker-nodes,Dedicated - FPT Kubernetes Engine,FPT Container,dedicated-fpt-kubernetes-engine/scale-worker-nodes.md,0,2,0,2,"FEWER_IMAGES, NO_TABLES",48,46,4%,10,5,,
privacy-filtering,FPT Cloud WAPPLES,FPT Security,fpt-cloud-wapples/privacy-filtering.md,0,2,0,2,"FEWER_IMAGES, NO_TABLES",12,10,17%,7,1,,
malicious-ip,FPT Cloud WAPPLES,FPT Security,fpt-cloud-wapples/malicious-ip.md,0,2,0,2,"FEWER_IMAGES, NO_TABLES",7,5,29%,7,1,,
intergration,FPT Cloud WAPPLES,FPT Security,fpt-cloud-wapples/intergration.md,0,2,0,2,"FEWER_IMAGES, NO_TABLES",12,10,17%,11,5,,
tai-file-cau-hinh-vpn,VPN Site-to-Site,FPT Network,vpn-site-to-site/tai-file-cau-hinh-vpn.md,0,2,0,2,"FEWER_IMAGES, NO_TABLES",44,43,2%,8,2,,
network,FPT Cloud WAPPLES,FPT Security,fpt-cloud-wapples/network.md,0,2,0,2,"FEWER_IMAGES, NO_TABLES",15,14,7%,10,4,,
xoa-firewall-policy,Fortigate - FPT NGFW,FPT Security,fortigate-fpt-ngfw/xoa-firewall-policy.md,0,2,0,2,"FEWER_IMAGES, NO_TABLES",15,15,0%,4,1,,
action-management,VPN Site-to-Site,FPT Network,vpn-site-to-site/action-management.md,0,1,0,1,NO_TABLES,10,11,-10%,6,6,,
kich-hoat-dich-vu-fcmon,FPT Cloud Monitoring,FPT Monitoring,fpt-cloud-monitoring/kich-hoat-dich-vu-fcmon.md,0,1,0,1,NO_TABLES,25,28,-12%,2,0,,
detail-dasboard,FPT AppSec,FPT Security Platform,fpt-appsec/detail-dasboard.md,0,1,0,1,NO_TABLES,0,3,0%,3,3,,
tutorials-xoa-template,Cloud Server,FPT Cloud Server,cloud-server/tutorials-xoa-template.md,0,2,0,2,"FEWER_IMAGES, NO_TABLES",14,18,-29%,6,1,,
edit-security-profile,VPN Site-to-Site,FPT Network,vpn-site-to-site/edit-security-profile.md,0,2,0,2,"FEWER_IMAGES, NO_TABLES",19,23,-21%,8,2,,
try-example-workload,Managed GPU Cluster (Kubernetes),AI Infrastructure,fpt-managed-gpu-cluster/try-example-workload.md,0,1,0,1,NO_TABLES,15,19,-27%,2,0,,
service-status,FPT Cloud WAPPLES,FPT Security,fpt-cloud-wapples/service-status.md,0,2,0,2,"FEWER_IMAGES, NO_TABLES",16,21,-31%,7,1,,
huong-dan-tren-smartconsole,CheckPoint - FPT NGFW,FPT Security,checkpoint-fpt-ngfw/huong-dan-tren-smartconsole.md,0,1,0,1,NO_TABLES,0,5,0%,3,0,,
dang-nhap,FPT Cloud Portal – Pay As You Go,FPT Cloud Server,fpt-cloud-portal-pay-as-you-gofpt-cloud-portal-pay-as-you-go/dang-nhap.md,0,2,0,2,"FEWER_IMAGES, NO_TABLES",0,6,0%,8,1,,
manage-admin-account-enable-disable-anonymous-user,FPT ArgoCD,FPT DevSecOps Services,fpt-argocd/manage-admin-account-enable-disable-anonymous-user.md,0,1,0,1,NO_TABLES,6,12,-100%,2,0,,
backup-report,Backup,FPT Cloud Backup & DR,backup/backup-report.md,0,1,0,1,NO_TABLES,20,27,-35%,3,0,,
edit-webhook-secret,FPT ArgoCD,FPT DevSecOps Services,fpt-argocd/edit-webhook-secret.md,0,1,0,1,NO_TABLES,1,9,-800%,4,2,,
thay-doi-cau-hinh-k8s,Managed GPU Cluster (Kubernetes),AI Infrastructure,fpt-managed-gpu-cluster/thay-doi-cau-hinh-k8s.md,0,1,0,1,NO_TABLES,5,13,-160%,2,0,,
system,FPT Cloud WAPPLES,FPT Security,fpt-cloud-wapples/system.md,0,2,0,2,"FEWER_IMAGES, NO_TABLES",2,11,-450%,11,5,,
demo,FPT Jenkins CI,FPT DevSecOps Services,fpt-argocd/demo.md,0,1,0,1,NO_TABLES,23,32,-39%,2,0,,
subnet,Managed - FPT Database Engines,FPT Database Engine,managed-fpt-database-engine/subnet.md,0,2,1,3,"FEWER_IMAGES, MISSING_HEADINGS, NO_TABLES",696,705,-1%,9,1,,
download-bills,Bills,Billing,billing/download-bills.md,0,1,0,1,NO_TABLES,0,9,0%,4,2,,
quan-ly-managed-gpu-cluster,Managed GPU Cluster (Kubernetes),AI Infrastructure,fpt-managed-gpu-cluster/quan-ly-managed-gpu-cluster.md,0,1,0,1,NO_TABLES,0,9,0%,2,2,,
use-sso,SSO - Single sign-on,FPT Cloud Server,sso-single-sign-on/use-sso.md,0,1,1,2,"MISSING_HEADINGS, NO_TABLES",14,24,-71%,6,4,,
truc-quan-hoa-du-lieu,FPT Cloud Monitoring,FPT Monitoring,fpt-cloud-monitoring/truc-quan-hoa-du-lieu.md,0,1,0,1,NO_TABLES,0,10,0%,2,0,,
feature-visibility,Fortigate - FPT NGFW,FPT Security,fortigate-fpt-ngfw/feature-visibility.md,0,2,0,2,"FEWER_IMAGES, NO_TABLES",0,11,0%,4,1,,
delete-webhook-secret,FPT ArgoCD,FPT DevSecOps Services,fpt-argocd/delete-webhook-secret.md,0,1,0,1,NO_TABLES,0,11,0%,4,2,,
cau-hinh-notifications,FPT ArgoCD,FPT DevSecOps Services,fpt-argocd/cau-hinh-notifications.md,0,1,0,1,NO_TABLES,57,68,-19%,2,0,,
huong-dan-dang-nhap-vao-argocd,FPT ArgoCD,FPT DevSecOps Services,fpt-argocd/huong-dan-dang-nhap-vao-argocd.md,0,1,0,1,NO_TABLES,42,53,-26%,5,3,,
delete-report,FPT Reporting,FPT Monitoring,reporting/delete-report.md,0,1,0,1,NO_TABLES,0,12,0%,4,2,,
quan-ly-workspace,FPT Cloud Monitoring,FPT Monitoring,fpt-cloud-monitoring/quan-ly-workspace.md,0,1,0,1,NO_TABLES,0,12,0%,2,0,,
tutorials-xoa-secret,FPT Key Vault,FPT DevSecOps Services,fpt-key-vault/tutorials-xoa-secret.md,0,2,0,2,"FEWER_IMAGES, NO_TABLES",13,25,-92%,7,3,,
config-sso,SSO - Single sign-on,FPT Cloud Server,sso-single-sign-on/config-sso.md,0,1,0,1,NO_TABLES,0,13,0%,2,0,,
cau-hinh-image-updater,FPT ArgoCD,FPT DevSecOps Services,fpt-argocd/cau-hinh-image-updater.md,0,1,0,1,NO_TABLES,47,60,-28%,2,0,,
xem-danh-sach-robot-account,FPT Container Registry,FPT Container,fpt-container-registry/xem-danh-sach-robot-account.md,0,2,0,2,"FEWER_IMAGES, NO_TABLES",18,32,-78%,6,1,,
backup-restore,FPT Cloud WAPPLES,FPT Security,fpt-cloud-wapples/backup-restore.md,0,1,0,1,NO_TABLES,1,15,-1400%,7,7,,
cau-hinh-webhook,FPT ArgoCD,FPT DevSecOps Services,fpt-argocd/cau-hinh-webhook.md,0,1,0,1,NO_TABLES,64,78,-22%,2,0,,
view-log,Trellix Customer Guide,Support,trellix-customer-guide/view-log.md,0,2,0,2,"HEADING_COUNT_DIFF, NO_TABLES",30,44,-47%,8,7,,
quan-ly-target,FPT Cloud VA,FPT Security,fpt-va/quan-ly-target.md,0,1,0,1,NO_TABLES,0,15,0%,3,0,,
xem-danh-sach-repositories,FPT Container Registry,FPT Container,fpt-container-registry/xem-danh-sach-repositories.md,0,2,0,2,"FEWER_IMAGES, NO_TABLES",31,47,-52%,6,1,,
delete-policy,Policy Management,FPT Cloud Server,fpt-key-vault/delete-policy.md,0,2,0,2,"FEWER_IMAGES, NO_TABLES",0,18,0%,6,2,,
deactive-db-service,Managed - FPT Database Engines,FPT Database Engine,managed-fpt-database-engine/deactive-db-service.md,0,2,1,3,"FEWER_IMAGES, MISSING_HEADINGS, NO_TABLES",87,105,-21%,9,1,,
quan-ly-policy,FPT Autoscale,FPT Cloud Server,fpt-autoscale/quan-ly-policy.md,0,1,0,1,NO_TABLES,9,29,-222%,1,0,,
cau-hinh-oidc-phuc-vu-sso-config,FPT ArgoCD,FPT DevSecOps Services,fpt-argocd/cau-hinh-oidc-phuc-vu-sso-config.md,0,1,0,1,NO_TABLES,15,36,-140%,2,0,,
active-db-service,Managed - FPT Database Engines,FPT Database Engine,managed-fpt-database-engine/active-db-service.md,0,2,1,3,"FEWER_IMAGES, MISSING_HEADINGS, NO_TABLES",87,108,-24%,9,1,,
fqas-4,Request Resource,Support,end-user-request-resource/fqas-4.md,0,1,0,1,NO_TABLES,16,39,-144%,3,0,,
scan-image,FPT Container Registry,FPT Container,fpt-container-registry/scan-image.md,0,2,0,2,"HEADING_COUNT_DIFF, NO_TABLES",27,52,-93%,5,5,,
tutorials-xoa-policy,FPT Key Vault,FPT DevSecOps Services,fpt-key-vault/tutorials-xoa-policy.md,0,2,0,2,"FEWER_IMAGES, NO_TABLES",0,25,0%,7,3,,
quan-ly-cau-hinh,FPT Jenkins CI,FPT DevSecOps Services,fpt-jenkins-ci/quan-ly-cau-hinh.md,0,1,0,1,NO_TABLES,0,25,0%,2,0,,
quan-ly-profile,FPT Autoscale,FPT Cloud Server,fpt-autoscale/quan-ly-profile.md,0,1,0,1,NO_TABLES,0,26,0%,1,0,,
managing-alarms,FPT Backup As a Service,FPT Cloud Backup & DR,fpt-backup-as-a-service/managing-alarms.md,0,1,0,1,NO_TABLES,0,29,0%,6,4,,
tutorials-xoa-secret-engine,FPT Key Vault,FPT DevSecOps Services,fpt-key-vault/tutorials-xoa-secret-engine.md,0,2,0,2,"FEWER_IMAGES, NO_TABLES",5,34,-580%,7,3,,
huong-dan-tren-gaia-portal,CheckPoint - FPT NGFW,FPT Security,checkpoint-fpt-ngfw/huong-dan-tren-gaia-portal.md,0,1,0,1,NO_TABLES,0,32,0%,3,0,,
fqas-1,Request Resource,Support,end-user-request-resource/fqas-1.md,0,1,0,1,NO_TABLES,0,38,0%,3,0,,
create-ddos,DdoS Protection,FPT Security,ddos-protection/create-ddos.md,0,1,0,1,NO_TABLES,0,39,0%,5,3,,
toi-muon-tim-hieu-ve-backup-fpt-cloud-co-chinh-sach-dung-thu-khong,Backup,FPT Cloud Backup & DR,backup/toi-muon-tim-hieu-ve-backup-fpt-cloud-co-chinh-sach-dung-thu-khong.md,0,1,0,1,NO_TABLES,0,41,0%,3,0,,
user-group-management,IAM,FPT Security,managed-fpt-database-engines-new/user-group-management.md,0,2,0,2,"FEWER_IMAGES, NO_TABLES",7,50,-614%,4,1,,
tang-them-worker-group-su-dung-gpu,FPT Kubernetes Engine with GPU,FPT Container,fpt-kubernetes-engine-with-gpu/tang-them-worker-group-su-dung-gpu.md,0,1,0,1,NO_TABLES,0,45,0%,5,4,,
khai-bao-thong-tin-tren-apimanager-application,FPT API Management,FPT Integration,fpt-api-management/khai-bao-thong-tin-tren-apimanager-application.md,0,1,0,1,NO_TABLES,0,45,0%,3,0,,
report,Trellix Customer Guide,Support,managed-fpt-database-engine/report.md,0,1,0,1,NO_TABLES,0,46,0%,3,0,,
monitoring,VPN Site-to-Site,FPT Network,managed-fpt-database-engine/monitoring.md,0,2,0,2,"HEADING_COUNT_DIFF, NO_TABLES",156,454,-191%,9,12,,
reporting,Managed - FPT Database Engines,FPT Database Engine,managed-fpt-database-engines-new/reporting.md,0,1,0,1,HEADING_COUNT_DIFF,0,414,0%,8,15,Yes,9
iam,Managed - FPT Database Engines,FPT Database Engine,managed-fpt-database-engine/iam.md,0,1,1,2,"FEWER_TABLES, HEADING_COUNT_DIFF",709,1130,-59%,8,40,Yes,27
